"trans","origin"
"金杯里装的名酒，每斗要价十千； 玉盘中盛的精美菜肴，收费万钱。","金樽清酒斗十千，玉盘珍羞直万钱。"
"胸中郁闷啊，我停杯投箸吃不下； 拔剑环顾四周，我心里委实茫然。","停杯投箸不能食，拔剑四顾心茫然。"
"想渡黄河，冰雪堵塞了这条大川； 要登太行，莽莽的风雪早已封山。","欲渡黄河冰塞川，将登太行雪满山。"
"象吕尚垂钓溪，闲待东山再起； 又象伊尹做梦，他乘船经过日边。","闲来垂钓碧溪上，忽复乘舟梦日边。"
"世上行路呵多么艰难，多么艰难； 眼前歧路这么多，我该向北向南？","行路难！行路难！多歧路，今安在？"
"相信总有一天，能乘长风破万里浪； 高高挂起云帆，在沧海中勇往直前！","长风破浪会有时，直挂云帆济沧海。"
"在秋夜里烛光映照着画屏，手拿着小罗扇扑打萤火虫。","银烛秋光冷画屏，轻罗小扇扑流萤。"
"夜色里的石阶清凉如冷水，静坐寝宫凝视牛郎织女星。","天阶夜色凉如水，卧看牵牛织女星。"
"香炉峰在阳光的照射下生起紫色烟霞，远远望见瀑布似白色绢绸悬挂在山前。","日照香炉生紫烟，遥看瀑布挂前川。"
"高崖上飞腾直落的瀑布好像有几千尺，让人恍惚以为银河从天上泻落到人间。","飞流直下三千尺，疑是银河落九天。"
"独自远离家乡难免总有一点凄凉，每到重阳佳节倍加思念远方的亲人。","独在异乡为异客，每逢佳节倍思亲。"
"远远想到兄弟们身佩茱萸登上高处，也会因为少我一人而生遗憾之情。","遥知兄弟登高处，遍插茱萸少一人。"
"您问归期，归期实难说准，巴山连夜暴雨，涨满秋池。","君问归期未有期，巴山夜雨涨秋池。"
"何时归去，共剪西窗烛花，当面诉说，巴山夜雨况味。","何当共剪西窗烛，却话巴山夜雨时。"
"剑门关外，喜讯忽传，官军收复冀北一带。高兴之余，泪满衣裳。","剑外忽传收蓟北，初闻涕泪满衣裳。"
"回望妻子儿女，也已一扫愁云，随手卷起诗书，全家欣喜若狂。","却看妻子愁何在，漫卷诗书喜欲狂。"
"老夫想要纵酒高歌，结伴春光同回故乡。","白日放歌须纵酒，青春作伴好还乡。"
"我的心魂早已高飞，就从巴峡穿过巫峡，再到襄阳直奔洛阳。","即从巴峡穿巫峡，便下襄阳向洛阳。"
"酒筵上甘醇的葡萄美酒盛满在精美的夜光杯之中，歌伎们弹奏起急促欢快的琵琶声助兴催饮，想到即将跨马奔赴沙场杀敌报国，战士们个个豪情满怀。","葡萄美酒夜光杯，欲饮琵琶马上催。"
"今日一定要一醉方休，即使醉倒在战场上又何妨？此次出征为国效力，本来就打算马革裹尸，没有准备活着回来。","醉卧沙场君莫笑，古来征战几人回？"
"我正乘上小船，刚要解缆出发，忽听岸上传来，悠扬踏歌之声。","李白乘舟将欲行，忽闻岸上踏歌声。"
"看那桃花潭水，纵然深有千尺，怎能及汪伦送我之情。","桃花潭水深千尺，不及汪伦送我情。"
"夜静更深，月光只照亮了人家房屋的一半，另一半隐藏在黑夜里。北斗星倾斜了，南斗星也倾斜了。","更深月色半人家，北斗阑干南斗斜。"
"今夜才知春天的来临，因为你听那被树叶映绿的窗纱外，唧唧的虫鸣，头一遭儿传到了屋子里来了。","今夜偏知春气暖，虫声新透绿窗纱。"
"新年都已来到，但还看不到芬芳的鲜花，到二月，才惊喜地发现有小草冒出了新芽。","新年都未有芳华，二月初惊见草芽。"
"白雪也嫌春色来得太晚了，所以有意化作花儿在庭院树间穿飞。","白雪却嫌春色晚，故穿庭树作飞花。"
"一年一度的秋风，又吹到了洛阳城中，身居洛阳城内的游子，不知家乡的亲人怎么样了；写封家书问候平安，要说的话太多了，又不知从何说起。","洛阳城里见秋风，欲作家书意万重。"
"信写好了，又担心匆匆中没有把自己想要说的话写完；当捎信人出发时，又拆开信封，再还给他。","复恐匆匆说不尽，行人临发又开封。"
"巴山楚水凄凉之地，二十三年默默谪居。","巴山楚水凄凉地，二十三年弃置身。"
"回来物是人非，我像烂柯之人，只能吹笛赋诗，空自惆怅不已。","怀旧空吟闻笛赋，到乡翻似烂柯人。"
"沉舟侧畔，千帆竞发；病树前头，万木逢春。","沉舟侧畔千帆过，病树前头万木春。"
"今日听你高歌一曲，暂借杯酒振作精神。","今日听君歌一曲，暂凭杯酒长精神。"
"在杨花落完，子规啼鸣的时候，听说你路过五溪。","杨花落尽子规啼，闻道龙标过五溪。"
"我把我忧愁的心思寄托给明月，希望能随着风一直陪着你到夜郎以西。 ","我寄愁心与明月，随风直到夜郎西。"
"昔日的仙人已乘着黄鹤飞去，这地方只留下空荡的黄鹤楼。","昔人已乘黄鹤去，此地空余黄鹤楼。"
"黄鹤一去再也没有返回这里，千万年来只有白云飘飘悠悠。","黄鹤一去不复返，白云千载空悠悠。"
"汉阳晴川阁的碧树历历可辨，更能看清芳草繁茂的鹦鹉洲。","晴川历历汉阳树，芳草萋萋鹦鹉洲。"
"时至黄昏不知何处是我家乡？看江面烟波渺渺更使人烦愁！","日暮乡关何处是？烟波江上使人愁。"
"长江犹如巨斧劈开天门雄峰，碧绿江水东流到此回旋澎湃。","天门中断楚江开，碧水东流至此回。"
"两岸青山对峙美景难分高下，遇见一叶孤舟悠悠来自天边。","两岸青山相对出，孤帆一片日边来。"
"清晨的微雨湿润了渭城地面的灰尘，馆驿青堂瓦舍柳树的枝叶翠嫩一新。","渭城朝雨浥轻尘，客舍青青柳色新。"
"真诚地奉劝我的朋友再干一杯美酒，向西出了阳关就难以遇到故旧亲人。","劝君更尽一杯酒，西出阳关无故人。"
"依旧是秦汉时期的明月和边关，守边御敌鏖战万里征人未回还。","秦时明月汉时关，万里长征人未还。"
"倘若龙城的飞将卫青如今还在，绝不许匈奴南下牧马度过阴山。","但使龙城飞将在，不教胡马度阴山。"
"黄河好像从白云间奔流而来，玉门关孤独地耸峙在高山中。","黄河远上白云间，一片孤城万仞山。"
"将士何须哀怨那柳树不发芽，春风根本吹不到玉门关外。","羌笛何须怨杨柳，春风不度玉门关。"
"辽阔的干里江南春景美如画，莺歌燕舞绿叶映衬鲜艳红花。","千里莺啼绿映红，水村山郭酒旗风。"
"水村山郭酒旗在春风中招展，南朝佛寺有多少笼罩烟雨下？","南朝四百八十寺，多少楼台烟雨中。"
"黄四娘家花儿茂盛把小路遮蔽，万千花朵压弯枝条离地低又低。","黄四娘家花满蹊，千朵万朵压枝低。"
"眷恋芬芳花间彩蝶时时在飞舞，自由自在娇软黄莺恰恰欢声啼。","留连戏蝶时时舞，自在娇莺恰恰啼。"
"迷离月色和轻烟笼罩寒水和白沙，夜晚船泊在秦淮靠近岸上的酒家。","烟笼寒水月笼沙，夜泊秦淮近酒家。"
"锦瑟呀，你为何竟有五十条弦？每弦每节，都令人怀思黄金华年。","锦瑟无端五十弦，一弦一柱思华年。"
"我心如庄子，为蝴蝶晓梦而迷惘；又如望帝化杜鹃，寄托春心哀怨。","庄生晓梦迷蝴蝶，望帝春心托杜鹃。"
"沧海明月高照，鲛人泣泪皆成珠。蓝田红日和暖，可看到良玉生烟。","沧海月明珠有泪，蓝田日暖玉生烟。"
"悲欢离合之情，岂待今日来追忆，只是当年却漫不经心，早已惘然。读者尽管难以明了《锦瑟》诗的思想内容，但那可供神游的诗境，却很容易在脑子里浮现。","此情可待成追忆，只是当时已惘然。"
"风急天高猿猴啼叫显得十分悲哀，水清沙白的河洲上有鸟儿在盘旋。","风急天高猿啸哀，渚清沙白鸟飞回。"
"无边无际的树木萧萧地飘下落叶，望不到头的长江水滚滚奔腾而来。","无边落木萧萧下，不尽长江滚滚来。"
"悲对秋景感慨万里漂泊常年为客，一生当中疾病缠身今日独上高台。","万里悲秋常作客，百年多病独登台。"
"历尽了艰难苦恨白发长满了双鬓，衰颓满心偏又暂停了浇愁的酒杯。","艰难苦恨繁霜鬓，潦倒新停浊酒杯。"
"我在年少时离开家乡，到了迟暮之年才回来。我的乡音虽未改变，但鬓角的毛发却已经疏落。","少小离家老大回，乡音无改鬓毛衰。"
"儿童们看见我，没有一个认识的。他们笑着询问：这客人是从哪里来的呀？","儿童相见不相识，笑问客从何处来。"
"敌兵滚滚而来，犹如黑云翻卷，想要摧倒城墙；我军严待以来，阳光照耀铠甲，一片金光闪烁。","黑云压城城欲摧，甲光向日金鳞开。"
"秋色里，响亮军号震天动地；黑夜间战士鲜血凝成暗紫。","角声满天秋色里，塞上燕脂凝夜紫。"
"红旗半卷，援军赶赴易水；夜寒霜重，鼓声郁闷低沉。","半卷红旗临易水，霜重鼓寒声不起。"
"只为报答君王恩遇，手携宝剑，视死如归。","报君黄金台上意，提携玉龙为君死！"
"一条弯弯曲曲的小路蜿蜒伸向山顶，在白云飘浮的地方有几户人家。","远上寒山石径斜，白云深处有人家。"
"停下来欣赏这枫林的景色，那火红的枫叶比江南二月的花还要红。","停车坐爱枫林晚，霜叶红于二月花。"
"最是喜爱涧边生长的幽幽野草，还有那树丛深处婉转啼唱的黄鹂。","独怜幽草涧边生，上有黄鹂深树鸣。"
"春潮不断上涨，还夹带着密密细雨。荒野渡口无人，只有一只小船悠闲地横在水面。","春潮带雨晚来急，野渡无人舟自横。"
"京城大道上空丝雨纷纷，它像酥油般细密而滋润，远望草色依稀连成一片，近看时却显得稀疏零星。","天街小雨润如酥，草色遥看近却无。"
"这是一年中最美的季节，远胜过绿柳满城的春末。","最是一年春好处，绝胜烟柳满皇都。"
"一支折断了的铁戟（古代兵器）沉没在水底的沙中还没有销蚀掉，经过自己又磨又洗发现这是当年赤壁之战的遗留之物。","折戟沉沙铁未销，自将磨洗认前朝。"
"假如东风不给周瑜以方便，结局恐怕是曹操取胜，二乔被关进铜雀台了。","东风不与周郎便，铜雀春深锁二乔。"
"是谁家精美的笛子暗暗地发出悠扬的笛声。随着春风飘扬，传遍洛阳全城。","谁家玉笛暗飞声，散入春风满洛城。"
"就在今夜的曲中，听到故乡的《折杨柳》，哪个人的思乡之情不会因此而油然而生呢？ ","此夜曲中闻折柳，何人不起故园情。"
"月亮已落下乌鸦啼叫寒气满天， 对着江边枫树和渔火忧愁而眠。","月落乌啼霜满天，江枫渔火对愁眠。"
"姑苏城外那寂寞清静寒山古寺， 半夜里敲钟的声音传到了客船。","姑苏城外寒山寺，夜半钟声到客船。"
"秋夜明月清辉，遍洒澄净湖面，湖面平静无风，犹如铁磨铜镜。","湖光秋月两相和，潭面无风镜未磨。"
"遥望美丽洞庭的湖光山色。真的令人浮想联翩。那翠绿的君山，真像银盘里的一枚玲珑青螺。","遥望洞庭山水色，白银盘里一青螺。"
"清晨，朝霞满天，我就要踏上归程。从江上往高处看，可以看见白帝城彩云缭绕，如在云间，景色绚丽！千里之遥的江陵，一天之间就已经到达。","朝辞白帝彩云间，千里江陵一日还。"
"两岸猿猴的啼声不断，回荡不绝。猿猴的啼声还回荡在耳边时，轻快的小船已驶过连绵不绝的万重山峦。","两岸猿声啼不住，轻舟已过万重山。"
"高峻的峨眉山前，悬挂着半轮秋月。流动的平羌江上，倒映着精亮月影。","峨眉山月半轮秋，影入平羌江水流。"
"夜间乘船出发，离开清溪直奔三峡。想你却难相见，恋恋不舍去向渝州。","夜发清溪向三峡，思君不见下渝州。"
"东望家乡路程又远又长，热泪湿双袖还不断流淌。","故园东望路漫漫，双袖龙钟泪不干。"
"在马上与你相遇无纸笔，请告家人说我平安无恙。","马上相逢无纸笔，凭君传语报平安。"
"暮春时节，长安城处处柳絮飞舞、落红无数，寒食节东风吹拂着皇家花园的柳枝。","春城无处不飞花，寒食东风御柳斜。"
"夜色降临，宫里忙着传蜡烛，袅袅炊烟散入王侯贵戚的家里。","日暮汉宫传蜡烛，轻烟散入五侯家。"
"身经沙场百战铁甲已破碎，城池南面被敌人重重包围。","百战沙场碎铁衣，城南已合数重围。"
"突进营垒，射杀呼延大将，独自率领残兵千骑而归。","突营射杀呼延将，独领残兵千骑归。"
"何处去寻找武侯诸葛亮的祠堂？在成都城外那柏树茂密的地方。","丞相祠堂何处寻，锦官城外柏森森。"
"碧草照映台阶自当显露春色，树上的黄鹂隔枝空对婉转鸣唱。","映阶碧草自春色，隔叶黄鹂空好音。"
"定夺天下先主曾三顾茅庐拜访，辅佐两朝开国与继业忠诚满腔。","三顾频烦天下计，两朝开济老臣心。"
"可惜出师伐魏未捷而病亡军中，常使历代英雄们对此涕泪满裳！","出师未捷身先死，长使英雄泪满襟。"
"刚开始听到远行去南方的大雁的鸣叫声，蝉鸣就已经销声匿迹了，我登上百尺高楼，极目远眺，水天连成一片。","初闻征雁已无蝉，百尺楼高水接天。"
"霜神青女和月中嫦娥不怕寒冷，在寒月冷霜中争艳斗俏，比一比冰清玉洁的美好姿容。","青女素娥俱耐冷，月中霜里斗婵娟。"
"一道残阳渐沉江中，半江碧绿半江艳红。","一道残阳铺水中，半江瑟瑟半江红。"
"最可爱的是那九月初三之夜，亮似珍珠郎朗新月形如弯弓。","可怜九月初三夜，露似真珠月似弓。"
"青海湖上乌云密布，连绵雪山一片黯淡。边塞古城，玉门雄关，远隔千里，遥遥相望。","青海长云暗雪山，孤城遥望玉门关。"
"守边将士，身经百战，铠甲磨穿，壮志不灭，不打败进犯之敌，誓不返回家乡。","黄沙百战穿金甲，不破楼兰终不还。"
"当年在岐王宅里，常常见到你的演出；在崔九堂前，也曾多次欣赏你的艺术。","岐王宅里寻常见，崔九堂前几度闻。"
"没有想到，在这风景一派大好的江南；正是落花时节，能巧遇你这位老相熟。","正是江南好风景，落花时节又逢君。"
"一丛一丛的秋菊环绕着房屋，看起来好似诗人陶渊明的家。绕着篱笆观赏菊花，不知不觉太阳已经快落山了。","秋丛绕舍似陶家，遍绕篱边日渐斜。"
"不是因为百花中偏爱菊花，只是因为菊花开过之后便不能够看到更好的花了。","不是花中偏爱菊，此花开尽更无花。"
"兰陵美酒甘醇，就像郁金香芬芳四溢。兴来盛满玉碗，泛出琥珀光晶莹迷人。","兰陵美酒郁金香，玉碗盛来琥珀光。"
"主人端出如此好酒，定能醉倒他乡之客。最后哪能分清，何处才是家乡？","但使主人能醉客，不知何处是他乡。"
"黄师塔前的江水向东流去，温暖的春天使人懒洋洋地发困，我倚着和煦的春风缓步前行。","黄师塔前江水东，春光懒困倚微风。"
"一丛丛盛开的桃花好像没人经管，你喜欢深红色，还是浅红色的桃花？","桃花一簇开无主，可爱深红爱浅红？"
"每天三更半夜到鸡啼叫的时候，是男孩子们读书的最好时间。","三更灯火五更鸡，正是男儿读书时。"
"少年时只知道玩，不知道要好好学习，到老的时候才后悔自己年少时为什么不知道要勤奋学习。","黑发不知勤学早，白首方悔读书迟。"
"在人间四月里百花凋零已尽，高山古寺中的桃花才刚刚盛开。","人间四月芳菲尽，山寺桃花始盛开。"
"我常为春光逝去无处寻觅而怅恨，却不知它已经转到这里来。","长恨春归无觅处，不知转入此中来。"
"桂花从天而降，好像是月上掉下来似的。拾起殿前的桂花，只见其颜色洁白、新鲜。","玉颗珊珊下月轮，殿前拾得露华新。"
"我到现在也不明白吴刚为什么要跟桂花树过不去。这桂花大概是嫦娥撒下来给予众人的吧。","至今不会天中事，应是嫦娥掷与人。"
"绿树葱郁浓阴夏日漫长，楼台的倒影映入了池塘。","绿树阴浓夏日长，楼台倒影入池塘。"
"水精帘在抖动微风拂起，满架蔷薇惹得一院芳香。","水晶帘动微风起，满架蔷薇一院香。"
"朱雀桥边一些野草开花，乌衣巷口唯有夕阳斜挂。","朱雀桥边野草花，乌衣巷口夕阳斜。"
"当年王导、谢安檐下的燕子，如今已飞进寻常百姓家中。","旧时王谢堂前燕，飞入寻常百姓家。"
"一个蓬头发蓬乱、面孔青嫩的小孩在河边学钓鱼，侧着身子坐在草丛中，野草掩映了他的身影。","蓬头稚子学垂纶，侧坐莓苔草映身。"
"听到有过路的人问路，小孩漠不关心地摆了摆手，生怕惊动了鱼儿，不敢回应过路人。","路人借问遥招手，怕得鱼惊不应人。"
"我独自在旅馆里躺着，寒冷的灯光照着我，久久难以入眠。是什么事情，让我这个游客的心里变得凄凉悲伤？","旅馆寒灯独不眠，客心何事转凄然。"
"故乡的人今夜一定在思念远在千里之外的我；我的鬓发已经变得斑白，到了明天又是新的一年。","故乡今夜思千里，霜鬓明朝又一年。"
"去年春天，就在这扇门里，姑娘脸庞，相映鲜艳桃花。","去年今日此门中，人面桃花相映红。"
"今日再来此地，姑娘不知去向何处，只有桃花依旧，含笑怒放春风之中。","人面不知何处去，桃花依旧笑春风。"
"曾经到临过沧海，别处的水就不足为顾；若除了巫山，别处的云便不称其为云。","曾经沧海难为水，除却巫山不是云。"
"仓促地由花丛中走过，懒得回头顾盼；这缘由，一半是因为修道人的清心寡欲，一半是因为曾经拥有过的你。","取次花丛懒回顾，半缘修道半缘君。"
"凤凰台上曾经有凤凰来悠游，凤去台空只有江水依旧东流。","凤凰台上凤凰游，凤去台空江自流。"
"吴宫鲜花芳草埋着荒凉小径，晋代多少王族已成荒冢古丘。","吴宫花草埋幽径，晋代衣冠成古丘。"
"三山云雾中隐现如落青天外，江水被白鹭洲分成两条河流。","三山半落青天外，二水中分白鹭洲。"
"总有奸臣当道犹如浮云遮日，长安望不见心中郁闷长怀愁。","总为浮云能蔽日，长安不见使人愁。"
"千里黄云蔽天日色暗昏昏，北风吹着归雁大雪纷纷。","千里黄云白日曛，北风吹雁雪纷纷。"
"不要担心前路茫茫没有知己，普天之下哪个不识君？","莫愁前路无知己，天下谁人不识君。"
"就像鸟儿六翮飘摇自伤自怜，离开京洛已经十多年。","六翮飘飖私自怜，一离京洛十余年。"
"大丈夫贫贱谁又心甘情愿，今天相逢可掏不出酒钱。","丈夫贫贱应未足，今日相逢无酒钱。"
"昨夜星光灿烂，夜半却有习习凉风；我们酒筵设在画楼西畔、桂堂之东。","昨夜星辰昨夜风，画楼西畔桂堂东。"
"身上无彩凤的双翼，不能比翼齐飞；内心却象灵犀一样，感情息息相通。","身无彩凤双飞翼，心有灵犀一点通。"
"互相猜钩嬉戏，隔座对饮春酒暖心；分组来行酒令，决一胜负烛光泛红。","隔座送钩春酒暖，分曹射覆蜡灯红。"
"可叹呵，听到五更鼓应该上朝点卯；策马赶到兰台，像随风飘转的蓬蒿。","嗟余听鼓应官去，走马兰台类转蓬。"
"年轻时，每逢佳节，总爱生出许多情感，现在老了，谁还有心思平白无故去感慨万千；","少年佳节倍多情，老去谁知感慨生；"
"在端阳这天，懒得学人家悬挂艾草和驱邪符的习惯，只祈望一盏蒲酒，共话天下太平。","不效艾符趋习俗，但祈蒲酒话升平。"
"鬓发是一天比一天增加了银白，石榴花如红锦般射目，年年应节而开；","鬓丝日日添白头，榴锦年年照眼明；"
"可叹在岁月面前，圣贤也罢蠢人也罢都是瞬息过客，谁知道有几人湮没无闻，有几人名垂青史呢。","千载贤愚同瞬息，几人湮没几垂名。"
"此次离别不知你们心绪何如，停住马饮酒询问被贬的去处。","嗟君此别意何如，驻马衔杯问谪居。"
"巫峡猿猴悲啼令人伤心流泪，衡阳的归雁会为我捎来回书。","巫峡啼猿数行泪，衡阳归雁几封书。"
"秋日青枫江上孤帆远远飘去，白帝城边黄叶飘零古木稀疏。","青枫江上秋帆远，白帝城边古木疏。"
"圣明朝代如今定会多施雨露，暂时分手希望你们不要踌躇。","圣代即今多雨露，暂时分手莫踌躇。"
"无论是在平地，还是在那高山，哪里鲜花迎风盛开，哪里就有蜜蜂奔忙。","不论平地与山尖，无限风光尽被占。"
"蜜蜂啊，你采尽百花酿成了花蜜，到底为谁付出辛苦，又想让谁品尝香甜？","采得百花成蜜后，为谁辛苦为谁甜。"
"杨柳青青江水宽又平，听见情郎江上踏歌声。","杨柳青青江水平，闻郎江上踏歌声。"
"东边日出西边下起雨，说是无晴但是还有晴。","东边日出西边雨，道是无晴却有晴。"
"锦官城里的音乐声轻柔悠扬，一半随着江风飘去，一半飘入了云端。","锦城丝管日纷纷，半入江风半入云。"
"这样的乐曲只应该天上有，人间里哪能听见几回？","此曲只应天上有，人间能得几回闻。"
"纵目望去，黄河渐行渐远，好像奔流在缭绕的白云中间，就在黄河上游的万仞高山之中，一座孤城玉门关耸峙在那里，显得孤峭冷寂。","黄河远上白云间，一片孤城万仞山。"
"何必用羌笛吹起那哀怨的杨柳曲去埋怨春光迟迟不来呢，原来玉门关一带春风是吹不到的啊！","羌笛何须怨杨柳，春风不度玉门关。"
"突厥首领来到中原求和亲，北望自己的领土，看到了边界以北的拂云堆神祠，回想昔日曾经多次在此杀马登台祭祀，然后兴兵犯唐，颇有几分踌躇满志。","单于北望拂云堆，杀马登坛祭几回。"
"但现在唐朝天子神武超绝，不肯与突厥和亲，此次中原之行只好无功而返。","汉家天子今神武，不肯和亲归去来。"
"采莲少女的绿罗裙融入到田田荷叶中，仿佛一色，少女的脸庞掩映在盛开的荷花间，相互映照。","荷叶罗裙一色裁，芙蓉向脸两边开。"
"混入莲池中不见了踪影，听到歌声四起才觉察到有人前来。","乱入池中看不见，闻歌始觉有人来。"
"我被江边上的春花弄得烦恼不堪，无处讲述这种心倩只好到处乱走。","江上被花恼不彻，无处告诉只颠狂。"
"来到南邻想寻找酷爱饮酒的伙伴，不料他床已空十天前便外出饮酒。","走觅南邻爱酒伴，经旬出饮独空床。"
"繁花乱蕊像锦绣一样裹住江边，脚步歪斜走入其间心里着实怕春天。","稠花乱蕊畏江滨，行步欹危实怕春。"
